2022-04-05 23:16:39 ERROR Mintermen:25 - Log4j error
2022-04-05 23:16:39 WARN  Mintermen:26 - Log4j Warn
2022-04-19 17:59:16 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-19 17:59:48 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-19 17:59:48 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-19 18:01:29 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-19 18:01:29 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-19 18:01:38 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-19 18:01:38 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-20 23:39:39 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-20 23:39:39 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-20 23:39:54 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-20 23:39:54 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-20 23:40:57 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-20 23:40:57 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-20 23:41:08 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-20 23:41:08 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-21 10:12:53 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-21 10:12:53 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-21 10:18:45 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-21 10:18:45 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-21 10:18:51 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-21 10:18:51 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-21 10:22:02 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-21 10:22:02 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-21 10:24:33 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-21 10:24:33 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-05-14 18:31:46 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-05-14 18:31:46 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-05-14 18:31:56 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-05-14 18:31:56 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-05-14 18:32:50 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-05-14 18:32:50 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-05-14 18:57:50 INFO  Mintermen:87 - S-a accesat instanta Singleton din MINTERMEN
2022-05-14 18:57:50 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-05-14 19:03:54 INFO  Mintermen:87 - S-a accesat instanta Singleton din MINTERMEN
2022-05-14 19:03:54 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-05-14 20:09:49 INFO  Mintermen:87 - S-a accesat instanta Singleton din MINTERMEN
2022-05-14 20:09:49 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-05-14 20:12:29 INFO  Mintermen:87 - S-a accesat instanta Singleton din MINTERMEN
2022-05-14 20:12:29 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-05-14 20:18:30 INFO  Mintermen:78 - S-a accesat instanta Singleton din MINTERMEN
2022-05-14 20:18:30 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-05-14 20:25:27 INFO  Mintermen:78 - S-a accesat instanta Singleton din MINTERMEN
2022-05-14 20:25:27 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-05-14 20:27:13 INFO  Mintermen:78 - S-a accesat instanta Singleton din MINTERMEN
2022-05-14 20:27:13 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-05-14 20:32:51 INFO  Mintermen:78 - S-a accesat instanta Singleton din MINTERMEN
2022-05-14 20:32:51 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-05-14 20:44:32 INFO  Mintermen:78 - S-a accesat instanta Singleton din MINTERMEN
2022-05-14 20:44:32 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-05-21 11:50:06 INFO  Mintermen:78 - S-a accesat instanta Singleton din MINTERMEN
2022-05-21 11:50:06 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
